<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20200618,18-06-20,47.6,49.5,47.6,49,210
BBC,20200617,17-06-20,47.5,47.5,47.5,47.5,160
BBC,20200616,16-06-20,47.9,47.9,47.55,47.55,430
BBC,20200615,15-06-20,48,48,47.95,47.95,2600
BBC,20200612,12-06-20,46.25,49.7,46.25,48,770
BBC,20200611,11-06-20,50.7,50.7,48.5,49.7,2080
BBC,20200610,10-06-20,50,50.7,50,50.7,310
BBC,20200609,09-06-20,50.8,51.8,50.7,50.7,4810
BBC,20200608,08-06-20,50.5,51.9,50,51.9,4720
BBC,20200605,05-06-20,49.5,51,49.5,50.7,1400
BBC,20200604,04-06-20,52,52,50,50,3450
BBC,20200603,03-06-20,46,48.75,46,48.75,740
BBC,20200602,02-06-20,49,50,45.6,45.6,1540
BBC,20200601,01-06-20,50.8,50.8,49,49,2040
BBC,20200529,29-05-20,51,51,51,51,6630
BBC,20200528,28-05-20,51.6,51.6,51,51,1130
BBC,20200527,27-05-20,51.6,52.9,51,51,12260
BBC,20200526,26-05-20,48.65,51,48.65,50.2,5320
BBC,20200525,25-05-20,46.9,48.65,46.9,48.65,8830
BBC,20200522,22-05-20,45,46,44.9,45.5,3920
BBC,20200521,21-05-20,43.5,45,43.5,44.25,2640
BBC,20200520,20-05-20,43.5,44,43.4,44,360
BBC,20200519,19-05-20,44,44,43.2,43.9,2510
BBC,20200518,18-05-20,44.2,44.2,43.1,43.1,1360
BBC,20200515,15-05-20,45.9,45.9,43.1,44,4080
BBC,20200514,14-05-20,42.85,43.1,42.85,43,830
BBC,20200513,13-05-20,42.8,43.1,42.7,43.1,1050
BBC,20200512,12-05-20,43.8,43.8,42.5,42.7,6580
BBC,20200511,11-05-20,43.8,44,42.05,43.8,970
BBC,20200508,08-05-20,41.05,44,41,44,2570
BBC,20200507,07-05-20,42.4,43.4,42,43.4,1220
BBC,20200506,06-05-20,42.35,44,42.35,43.4,540
BBC,20200505,05-05-20,43.2,43.2,43.2,43.2,1690
BBC,20200504,04-05-20,43.2,43.2,43.2,43.2,590
BBC,20200429,29-04-20,43.8,43.9,41.15,43.8,770
BBC,20200428,28-04-20,43.9,43.9,42.5,43.75,1500
BBC,20200427,27-04-20,44,44,43.4,43.9,510
