<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BHN,20200618,18-06-20,52.4,54,52.4,53,3150
BHN,20200617,17-06-20,53.1,53.1,52.1,52.8,1280
BHN,20200616,16-06-20,53.5,53.5,53.1,53.1,390
BHN,20200615,15-06-20,54.5,54.7,53.1,53.1,1370
BHN,20200612,12-06-20,54.5,54.8,51.5,54.7,7760
BHN,20200611,11-06-20,55,55.5,55,55.3,7790
BHN,20200610,10-06-20,55.9,55.9,55,55.5,2970
BHN,20200609,09-06-20,56,56,55.5,55.5,4210
BHN,20200608,08-06-20,56,56,55,56,11640
BHN,20200605,05-06-20,53,56,53,56,17420
BHN,20200604,04-06-20,54.8,54.8,54.5,54.5,7230
BHN,20200603,03-06-20,54.5,54.8,54.5,54.8,2860
BHN,20200602,02-06-20,54.7,55,54.4,54.5,29480
BHN,20200601,01-06-20,55,55.3,54.4,55.3,3850
BHN,20200529,29-05-20,55,55.4,54.9,55,3140
BHN,20200528,28-05-20,56.3,56.3,55,55,16490
BHN,20200527,27-05-20,56.5,56.5,55,55.9,4210
BHN,20200526,26-05-20,55.5,56,53.3,56,15700
BHN,20200525,25-05-20,56.1,56.1,55.5,55.5,6760
BHN,20200522,22-05-20,56,56.6,56,56,9210
BHN,20200521,21-05-20,56.5,57,56.5,56.6,6790
BHN,20200520,20-05-20,56.4,56.8,56.1,56.5,16650
BHN,20200519,19-05-20,56.9,56.9,55,56,14470
BHN,20200518,18-05-20,55.5,55.5,55.1,55.2,7340
BHN,20200515,15-05-20,55.7,55.9,55.5,55.5,10300
BHN,20200514,14-05-20,54,56,54,55.6,14400
BHN,20200513,13-05-20,56.5,56.5,52.9,56.5,16760
BHN,20200512,12-05-20,57.1,57.1,56.3,56.8,12150
BHN,20200511,11-05-20,57.1,57.5,56.8,57.1,20370
BHN,20200508,08-05-20,56.5,57,56.5,56.8,20000
BHN,20200507,07-05-20,55,56.5,54,56.3,37450
BHN,20200506,06-05-20,52.3,55.9,52,54.5,17300
BHN,20200505,05-05-20,50.8,53.5,50.8,52.3,8970
BHN,20200504,04-05-20,54,55,54,54.1,16460
BHN,20200429,29-04-20,56,57,54,56,14660
BHN,20200428,28-04-20,57,58,54,56,18270
BHN,20200427,27-04-20,58.6,58.6,56,57,24800
BHN,20200424,24-04-20,58,59,57.5,58.8,23660
BHN,20200423,23-04-20,59.9,59.9,57,59,16970
BHN,20200422,22-04-20,53.7,56.5,49.95,56,17590
BHN,20200421,21-04-20,61.6,61.7,53.7,53.7,75730
BHN,20200420,20-04-20,54.5,57.7,54.5,57.7,55230
BHN,20200417,17-04-20,54.4,54.4,52.8,54,43500
BHN,20200416,16-04-20,49.15,52.5,48,51,23010
BHN,20200415,15-04-20,47.7,49.15,47.6,49.15,9920
BHN,20200414,14-04-20,50.1,50.1,47.1,47.6,24200
BHN,20200413,13-04-20,46.5,47,46.5,47,13720
BHN,20200410,10-04-20,42.8,43.95,42,43.95,26950
BHN,20200409,09-04-20,43,43.5,41,41.1,43650
BHN,20200408,08-04-20,42,43.5,40.95,40.95,8110
BHN,20200407,07-04-20,44.2,45,40.95,40.95,5600
BHN,20200406,06-04-20,45.45,45.45,44,44,1000
BHN,20200403,03-04-20,49.35,49.35,43.2,43.2,21400
BHN,20200401,01-04-20,46.8,46.8,42.5,46.45,190
BHN,20200331,31-03-20,51.5,51.5,44.95,44.95,4040
BHN,20200330,30-03-20,48.3,52.4,48.3,48.3,4230
BHN,20200327,27-03-20,50.5,52.3,50.4,51.9,2110
BHN,20200326,26-03-20,50.1,52,50.1,51.9,1720
BHN,20200325,25-03-20,54.5,54.5,50,50,90
BHN,20200324,24-03-20,53.3,53.3,52.9,52.9,2040
BHN,20200323,23-03-20,53,53,49.85,49.85,2790
BHN,20200319,19-03-20,52.6,53.6,52,53.6,340
BHN,20200318,18-03-20,52.7,54.5,52.7,54.5,120
BHN,20200317,17-03-20,52.6,52.6,52.6,52.6,40
BHN,20200316,16-03-20,56,56,52.6,52.6,820
BHN,20200313,13-03-20,56,56,55,56,750
BHN,20200312,12-03-20,58.5,58.5,57,57,1590
BHN,20200311,11-03-20,58.7,58.7,58.1,58.6,740
BHN,20200310,10-03-20,58,58.6,58,58.6,1010
BHN,20200309,09-03-20,58.2,58.5,58.2,58.5,1190
BHN,20200306,06-03-20,61,63.9,60.9,61.8,3920
BHN,20200305,05-03-20,59.5,61,58.2,61,1270
BHN,20200304,04-03-20,59,59,58.5,58.5,150
BHN,20200303,03-03-20,59,60,59,60,60
BHN,20200302,02-03-20,61.9,62,59,59,310
BHN,20200227,27-02-20,62,62,61.5,61.5,30
BHN,20200226,26-02-20,59,59,59,59,1500
BHN,20200225,25-02-20,60,60,60,60,1240
BHN,20200224,24-02-20,62,62,60,60,60
BHN,20200221,21-02-20,62,62,62,62,1070
BHN,20200219,19-02-20,61,63.5,60,63.5,860
BHN,20200218,18-02-20,62.5,62.5,61,61,500
BHN,20200217,17-02-20,62.5,64.5,62.3,62.3,7700
BHN,20200214,14-02-20,64.9,64.9,62.3,62.3,80
BHN,20200213,13-02-20,63.9,63.9,62.2,62.2,400
BHN,20200212,12-02-20,63.5,64,61.5,64,510
BHN,20200211,11-02-20,63.8,64.6,63,64.5,260
BHN,20200210,10-02-20,64,64,63,63.8,1350
BHN,20200207,07-02-20,61,63,61,61,40
BHN,20200206,06-02-20,61,63,61,61,1740
BHN,20200205,05-02-20,60.7,61,58.5,61,4620
BHN,20200204,04-02-20,61.4,61.4,58.1,58.1,3470
BHN,20200203,03-02-20,61.4,66,61.4,61.4,3440
BHN,20200131,31-01-20,66,66.8,66,66,700
BHN,20200130,30-01-20,68,69.3,68,68.5,1150
BHN,20200122,22-01-20,71.1,72,66.2,72,36370
BHN,20200121,21-01-20,71,71,71,71,10
