<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BID,20200618,18-06-20,40.3,40.6,40,40.5,629450
BID,20200617,17-06-20,40.7,41.1,39.85,40.3,817560
BID,20200616,16-06-20,41.5,41.6,40.5,40.7,958780
BID,20200615,15-06-20,42.3,42.3,39.9,39.9,1503480
BID,20200612,12-06-20,39.5,42.5,39.5,42.5,1913590
BID,20200611,11-06-20,43.5,43.7,40.5,40.5,2386670
BID,20200610,10-06-20,43.1,44.1,42.5,43.5,1297400
BID,20200609,09-06-20,44.1,44.1,43.3,43.35,1119590
BID,20200608,08-06-20,42.7,44,42.5,44,2487930
BID,20200605,05-06-20,41.8,42.2,41.25,42.1,1216160
BID,20200604,04-06-20,41.2,42.3,41.1,41.8,2013380
BID,20200603,03-06-20,40.9,41.2,40.5,41,896130
BID,20200602,02-06-20,41.5,41.9,40.5,40.55,1496600
BID,20200601,01-06-20,40.3,41.55,40.25,41.45,1104330
BID,20200529,29-05-20,40.4,40.5,39.8,40.1,1669730
BID,20200528,28-05-20,40,40.95,39.8,40.7,1913890
BID,20200527,27-05-20,42.75,42.75,39.8,39.8,2293240
BID,20200526,26-05-20,39.75,42,39.75,42,2954120
BID,20200525,25-05-20,39.3,39.8,39,39.65,888300
BID,20200522,22-05-20,39.7,40,39.3,39.3,1140830
BID,20200521,21-05-20,39.5,40.15,39.45,39.7,2474770
BID,20200520,20-05-20,39,39.3,38.5,39.15,900670
BID,20200519,19-05-20,39.9,39.9,38.9,39.1,1686240
BID,20200518,18-05-20,38.45,38.9,38,38.9,1864370
BID,20200515,15-05-20,39.8,40.1,38.4,38.6,1909780
BID,20200514,14-05-20,39,40.5,39,39.7,1994890
BID,20200513,13-05-20,38.3,39.8,37.8,39.6,2725900
BID,20200512,12-05-20,38.3,38.65,37.95,38.55,1645960
BID,20200511,11-05-20,38.5,39,37.95,38.5,1209730
BID,20200508,08-05-20,37.95,39.3,37.55,38,2563570
BID,20200507,07-05-20,36.3,37.6,36.3,37.55,2524450
BID,20200506,06-05-20,35.45,36,35.3,36,739320
BID,20200505,05-05-20,35.3,35.8,35.2,35.3,427650
BID,20200504,04-05-20,35.6,36.4,35.1,35.3,655630
BID,20200429,29-04-20,35.6,35.9,35,35.6,595490
BID,20200428,28-04-20,35.1,35.8,34.5,35.15,589490
BID,20200427,27-04-20,36.2,36.4,35.1,35.1,1205680
BID,20200424,24-04-20,36.45,36.45,35.3,36,592910
BID,20200423,23-04-20,37,37.2,36.1,36.2,789930
BID,20200422,22-04-20,33.1,37.05,33.1,36.2,1413800
BID,20200421,21-04-20,36,36.8,34.7,34.7,2238980
BID,20200420,20-04-20,37.9,38,36.95,37.1,1371830
BID,20200417,17-04-20,37.85,38.2,37.2,37.4,1151710
BID,20200416,16-04-20,37.2,37.3,36.75,37.3,1210270
BID,20200415,15-04-20,36.7,37.7,36.7,37.3,1107070
BID,20200414,14-04-20,37.05,37.55,35.8,36.5,1220360
