<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20200618,18-06-20,29.4,29.9,28.8,29.9,35390
CMG,20200617,17-06-20,29.65,29.65,28.5,28.85,14190
CMG,20200616,16-06-20,28.9,29,28.35,28.6,28820
CMG,20200615,15-06-20,29.1,29.1,28.2,28.5,126620
CMG,20200612,12-06-20,27.5,29.5,27.5,29,265750
CMG,20200611,11-06-20,30.7,30.7,28.3,28.3,129910
CMG,20200610,10-06-20,31.5,31.5,30.4,30.4,113820
CMG,20200609,09-06-20,31.8,31.8,31.25,31.5,160130
CMG,20200608,08-06-20,28.2,30.15,28,30.15,202150
CMG,20200605,05-06-20,28.45,28.45,28.1,28.2,49660
CMG,20200604,04-06-20,28,28.25,27.95,28.2,121340
CMG,20200603,03-06-20,27.75,27.9,27.6,27.9,12490
CMG,20200602,02-06-20,28,28,27.7,27.75,33650
CMG,20200601,01-06-20,27.85,27.9,27.7,27.85,58880
CMG,20200529,29-05-20,28.3,28.3,27.4,27.85,33720
CMG,20200528,28-05-20,27.85,27.9,27.4,27.9,41270
CMG,20200527,27-05-20,28.2,28.2,27.85,27.85,85760
CMG,20200526,26-05-20,28.3,28.3,28,28.1,32280
CMG,20200525,25-05-20,28,28.2,27.85,28.2,37040
CMG,20200522,22-05-20,28.4,28.4,27.9,28,50860
CMG,20200521,21-05-20,27.8,28.55,27.8,28.25,39450
CMG,20200520,20-05-20,28.5,28.5,27.6,28.25,65660
CMG,20200519,19-05-20,28.5,28.9,28.25,28.5,45490
CMG,20200518,18-05-20,29,29,28.2,28.5,12390
CMG,20200515,15-05-20,28.95,29,28,29,78510
CMG,20200514,14-05-20,28.8,29.3,28.35,28.9,48400
CMG,20200513,13-05-20,29,29.8,28.7,29.4,77490
CMG,20200512,12-05-20,28.45,29,28.3,29,30930
CMG,20200511,11-05-20,28.45,28.8,28.2,28.45,32810
CMG,20200508,08-05-20,29,29,28.6,28.6,40120
CMG,20200507,07-05-20,28.5,29.1,28.5,28.9,20920
CMG,20200506,06-05-20,28.25,28.3,27.9,28.25,56460
CMG,20200505,05-05-20,28.4,28.4,27.6,28.25,5370
CMG,20200504,04-05-20,28.65,28.65,27.9,28.3,15600
CMG,20200429,29-04-20,28.65,28.7,28,28.65,21400
CMG,20200428,28-04-20,28.9,28.9,27.95,28.5,21790
CMG,20200427,27-04-20,29.2,29.3,27.9,28.7,68020
CMG,20200424,24-04-20,28.95,29.2,28.1,29.2,14580
CMG,20200423,23-04-20,29.9,29.9,28.1,28.7,26860
CMG,20200422,22-04-20,27.65,28,27,28,66130
CMG,20200421,21-04-20,29.7,29.8,27.65,27.65,66530
CMG,20200420,20-04-20,30.1,30.45,29.5,29.7,57800
CMG,20200417,17-04-20,29.6,30.3,29,29.5,49000
