<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20200618,18-06-20,46.3,46.7,46.15,46.6,822980
FPT,20200617,17-06-20,46.7,46.75,46.25,46.35,788630
FPT,20200616,16-06-20,46.6,46.8,46.3,46.6,1100730
FPT,20200615,15-06-20,48,48,45.9,46,1207500
FPT,20200612,12-06-20,45,47,45,47,3145450
FPT,20200611,11-06-20,48.8,48.8,46,46,4278060
FPT,20200610,10-06-20,49,49,48.4,48.8,1307540
FPT,20200609,09-06-20,49.6,49.65,48.9,48.95,1491540
FPT,20200608,08-06-20,49,50,49,49.35,4113250
FPT,20200605,05-06-20,48.4,48.7,48.15,48.7,1236200
FPT,20200604,04-06-20,48.9,48.9,48.4,48.4,1260060
FPT,20200603,03-06-20,48,48.95,47.9,48.65,1893060
FPT,20200602,02-06-20,48.3,48.5,48,48,1456730
FPT,20200601,01-06-20,48,48.35,48,48.3,1298150
FPT,20200529,29-05-20,48,48.1,47.5,47.95,1346170
FPT,20200528,28-05-20,48.2,48.6,48,48,1194380
FPT,20200527,27-05-20,48.9,49.4,48,48,2098580
FPT,20200526,26-05-20,48.5,48.8,48.35,48.8,1615680
FPT,20200525,25-05-20,48.5,48.6,47.8,48.45,2033000
FPT,20200522,22-05-20,49,49,48.45,48.45,1731720
FPT,20200521,21-05-20,48.9,49.3,48.85,49.3,2007060
FPT,20200520,20-05-20,49,49,48.55,48.9,1245380
FPT,20200519,19-05-20,49.2,49.7,48.6,49.25,2879030
FPT,20200518,18-05-20,47.5,48.35,47.4,48.35,2000950
FPT,20200515,15-05-20,48.3,48.9,47.75,48,2430890
FPT,20200514,14-05-20,48.95,49.1,48.5,48.7,2597400
FPT,20200513,13-05-20,47.5,49.55,47.4,49.35,6853810
FPT,20200512,12-05-20,46.089,46.4304,45.7476,46.4358,2828190
FPT,20200511,11-05-20,46.0944,46.4358,45.4969,46.0944,2119430
FPT,20200508,08-05-20,45.7476,47.0279,45.7476,45.8383,3585320
FPT,20200507,07-05-20,45.2408,45.6676,44.7286,45.6676,2030720
FPT,20200506,06-05-20,43.5285,45.3209,43.5285,45.1554,3470150
FPT,20200505,05-05-20,43.3578,43.5285,43.0164,43.4482,677990
FPT,20200504,04-05-20,42.8507,43.4482,42.5093,43.1068,895530
FPT,20200429,29-04-20,43.3629,43.875,43.1068,43.3629,1349230
FPT,20200428,28-04-20,43.2725,43.3578,42.8457,43.2775,974310
FPT,20200427,27-04-20,43.9553,43.9553,43.1018,43.2775,1419750
FPT,20200424,24-04-20,43.4482,43.7043,42.7654,43.5336,1411380
FPT,20200423,23-04-20,44.4726,44.5579,43.5336,43.5336,1363410
FPT,20200422,22-04-20,41.6557,43.7043,41.5703,43.619,2445860
FPT,20200421,21-04-20,43.1068,43.4482,41.741,42.0825,3737050
FPT,20200420,20-04-20,44.3018,44.3872,43.2775,43.7897,2239780
FPT,20200417,17-04-20,43.6992,43.7846,42.8457,43.7043,2631630
FPT,20200416,16-04-20,42.4239,43.3629,42.0825,42.9361,1508480
FPT,20200415,15-04-20,43.1068,43.3629,42.552,42.7654,2205200
FPT,20200414,14-04-20,40.6314,42.2532,40.1192,42.2532,4072050
FPT,20200413,13-04-20,39.607,40.1192,39.351,39.6924,1255360
FPT,20200410,10-04-20,39.7731,40.1145,39.1757,39.607,1882020
FPT,20200409,09-04-20,40.1192,40.6314,39.6924,39.9912,2142370
FPT,20200408,08-04-20,39.351,40.1619,39.0522,39.9912,1576670
FPT,20200407,07-04-20,40.546,40.7167,39.6924,40.3753,2463810
FPT,20200406,06-04-20,39.2656,40.546,38.8388,40.546,2718990
FPT,20200403,03-04-20,36.7048,38.1132,36.4487,38.0706,2072000
