<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20200618,18-06-20,57,57.4,55.9,57,928290
MSN,20200617,17-06-20,58,58.2,56.9,57.5,1155980
MSN,20200616,16-06-20,57.4,57.8,56.5,57.6,1492420
MSN,20200615,15-06-20,58.5,58.9,55.3,56.4,2603230
MSN,20200612,12-06-20,57,58.7,57,58.5,3042060
MSN,20200611,11-06-20,63.3,64.1,58.5,58.5,2635700
MSN,20200610,10-06-20,62.9,63,62.5,62.9,1210600
MSN,20200609,09-06-20,63.5,64.2,62.7,63,1614250
MSN,20200608,08-06-20,63.4,64.4,62.8,63.4,1758860
MSN,20200605,05-06-20,63,63.3,62.5,63,1826680
MSN,20200604,04-06-20,64.6,64.6,63.3,63.5,1528010
MSN,20200603,03-06-20,64.5,64.5,63.6,64,749700
MSN,20200602,02-06-20,63.6,65.8,63.4,63.9,4190080
MSN,20200601,01-06-20,62.7,63.7,62.7,63.1,1076880
MSN,20200529,29-05-20,62.8,62.9,62.2,62.7,698100
MSN,20200528,28-05-20,63.4,63.4,62.4,62.8,797480
MSN,20200527,27-05-20,63.2,64.6,62.5,62.5,2189080
MSN,20200526,26-05-20,62,62.8,61.9,62.5,1053240
MSN,20200525,25-05-20,62.2,62.7,61.5,61.8,1354620
MSN,20200522,22-05-20,63.5,63.7,62,62,1310850
MSN,20200521,21-05-20,63.8,64,62.8,63.8,1513470
MSN,20200520,20-05-20,62.5,63.9,62.5,63.8,998400
MSN,20200519,19-05-20,63.3,64.4,62.5,63,1923440
MSN,20200518,18-05-20,62.1,62.8,61.4,62.5,840070
MSN,20200515,15-05-20,64.5,64.9,62.1,62.1,1305890
MSN,20200514,14-05-20,61.5,65.2,61,63.9,2573510
MSN,20200513,13-05-20,61.3,62.5,60.5,61.9,1598740
MSN,20200512,12-05-20,63,63.2,61.8,62,1028270
MSN,20200511,11-05-20,63.1,63.1,60.6,63.1,1838950
MSN,20200508,08-05-20,59,62.4,58.9,61,3319850
MSN,20200507,07-05-20,58.8,59,58,58.8,780600
MSN,20200506,06-05-20,57,58,55.7,58,1019980
MSN,20200505,05-05-20,57.2,57.5,56.4,56.4,1098980
MSN,20200504,04-05-20,57.2,58.7,57.1,57.3,1148810
MSN,20200429,29-04-20,58.8,59.9,58.8,58.8,830530
MSN,20200428,28-04-20,58.5,60.3,58,59.7,1095230
MSN,20200427,27-04-20,60,60.5,58.5,58.5,1122520
MSN,20200424,24-04-20,57.8,59.5,57.2,59.5,1218690
MSN,20200423,23-04-20,59.5,59.8,58.2,58.2,842920
MSN,20200422,22-04-20,55.5,58.6,55.5,58.2,1062970
MSN,20200421,21-04-20,58.1,58.8,56.1,56.6,1855040
MSN,20200420,20-04-20,60.6,61,59.4,59.4,1843690
MSN,20200417,17-04-20,61,61.4,60.5,60.6,1417150
MSN,20200416,16-04-20,59.6,61.2,59.6,60.8,981480
MSN,20200415,15-04-20,61,62.3,60.7,60.9,1106350
MSN,20200414,14-04-20,58,61,57.2,61,1449880
MSN,20200413,13-04-20,60.2,61.4,58.1,58.1,2106950
MSN,20200410,10-04-20,59,62.5,58.3,60.2,1914340
MSN,20200409,09-04-20,59,59.7,58.1,59.4,2047890
MSN,20200408,08-04-20,56.1,58.9,55.5,58.9,1338040
MSN,20200407,07-04-20,56.8,58.4,55.1,57.5,2099700
MSN,20200406,06-04-20,53.3,55.9,53.1,55.9,2556830
MSN,20200403,03-04-20,49.6,52.3,49.5,52.3,1841480
MSN,20200401,01-04-20,48.8,50,48.8,49.2,1725880
MSN,20200331,31-03-20,49.1,49.9,48.2,49,3667100
MSN,20200330,30-03-20,48.5,49.1,48.4,49.1,1378940
MSN,20200327,27-03-20,48.7,51,48.5,49.3,2587920
MSN,20200326,26-03-20,49,49.2,48.55,49,2763490
