<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20200618,18-06-20,84,86.5,83.9,85,1809780
VCB,20200617,17-06-20,85,85.2,83.8,84.2,737830
VCB,20200616,16-06-20,84,84,82.4,83.7,802980
VCB,20200615,15-06-20,85.6,85.8,81.8,82,1218540
VCB,20200612,12-06-20,82.5,86.5,82.5,85.6,1612920
VCB,20200611,11-06-20,89.5,89.6,87,88,1163900
VCB,20200610,10-06-20,89.5,89.8,89.3,89.6,793590
VCB,20200609,09-06-20,89.9,90,89.4,89.5,417690
VCB,20200608,08-06-20,89,90.2,88.4,89.4,802240
VCB,20200605,05-06-20,89.1,89.3,87,89,810570
VCB,20200604,04-06-20,88,89,88,89,450240
VCB,20200603,03-06-20,87,87.9,86.9,87.9,462750
VCB,20200602,02-06-20,86.9,86.9,86.3,86.6,1009040
VCB,20200601,01-06-20,85.5,86.7,85.5,86.5,725310
VCB,20200529,29-05-20,85,86,84.5,85.2,1161180
VCB,20200528,28-05-20,83,85.1,83,84.5,1849310
VCB,20200527,27-05-20,83,84.4,82.9,82.9,817770
VCB,20200526,26-05-20,81,82.6,81,82.5,740930
VCB,20200525,25-05-20,80.9,81.3,80.8,81.1,708710
VCB,20200522,22-05-20,81.2,81.3,80,81,805710
VCB,20200521,21-05-20,80,81.2,79.6,81.2,1425500
VCB,20200520,20-05-20,78.4,79.7,78.4,79.6,710200
VCB,20200519,19-05-20,79.9,80.1,78.8,79,1129270
VCB,20200518,18-05-20,76.3,79,75.8,78.5,1002690
VCB,20200515,15-05-20,76.4,76.5,75.6,76,1596240
VCB,20200514,14-05-20,75,76.4,74.9,76,2121750
VCB,20200513,13-05-20,75.6,76.5,72,75.6,1851970
VCB,20200512,12-05-20,74.6,76,74.4,75.6,2199500
VCB,20200511,11-05-20,74.5,74.5,72.5,74.5,1696160
VCB,20200508,08-05-20,70,74.2,69.8,73.5,3865590
VCB,20200507,07-05-20,67.8,69.7,67.7,69.7,1936540
VCB,20200506,06-05-20,67.3,67.7,66.5,67.6,855770
VCB,20200505,05-05-20,67.3,67.7,66.8,66.8,1007640
VCB,20200504,04-05-20,68,68.1,66.8,67.4,852260
VCB,20200429,29-04-20,68,68.1,67,68,1523750
VCB,20200428,28-04-20,66.8,68.5,65.2,67,2052860
VCB,20200427,27-04-20,69.9,69.9,66.8,66.8,2547060
VCB,20200424,24-04-20,69.2,69.6,67.5,68.9,972170
