<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20200618,18-06-20,75.6,76.7,75.4,76.5,1636400
VHM,20200617,17-06-20,76.3,77.6,75,76,2173040
VHM,20200616,16-06-20,72.8,74.9,72.1,74.9,3077090
VHM,20200615,15-06-20,75.6,75.7,70,70,3356780
VHM,20200612,12-06-20,73.5,75.6,73.5,75,3152190
VHM,20200611,11-06-20,77.5,78.6,76.5,76.5,5714800
VHM,20200610,10-06-20,77.6,77.8,76.9,77.5,3218980
VHM,20200609,09-06-20,78,78.7,77.4,77.6,2837400
VHM,20200608,08-06-20,78,78.7,77.5,77.8,2663380
VHM,20200605,05-06-20,77.1,77.9,76.6,77.3,2191420
VHM,20200604,04-06-20,78,78.7,77,77.5,3127800
VHM,20200603,03-06-20,78,78.3,77.4,77.9,2655470
VHM,20200602,02-06-20,79.1,79.2,77.7,77.8,2635920
VHM,20200601,01-06-20,77.4,79.5,77.3,79.1,3254070
VHM,20200529,29-05-20,75.6,77.1,75.5,76.6,3942120
VHM,20200528,28-05-20,74.9,76,74.4,75,4347270
VHM,20200527,27-05-20,76.5,77.6,74.6,74.7,3769070
VHM,20200526,26-05-20,77.5,77.9,76.4,76.4,2996560
VHM,20200525,25-05-20,76.4,78.5,74.8,76.8,4664450
VHM,20200522,22-05-20,77,77.4,75.6,76.5,2154460
VHM,20200521,21-05-20,77.5,78.5,76.8,78,2266430
VHM,20200520,20-05-20,72.9,77.1,72.8,77.1,4298310
VHM,20200519,19-05-20,73,74.7,72.3,73.2,3688710
VHM,20200518,18-05-20,71.3,72.6,70.9,71.9,1656080
VHM,20200515,15-05-20,71,72,70.5,71.6,1556450
VHM,20200514,14-05-20,70.9,71.4,70.4,70.6,2268270
VHM,20200513,13-05-20,72.6,73,70.9,71.4,3373310
VHM,20200512,12-05-20,73.3,73.9,72,73.5,1769100
VHM,20200511,11-05-20,73.5,73.9,70.8,73.5,2792640
VHM,20200508,08-05-20,68,72.3,67.8,70.9,3635800
VHM,20200507,07-05-20,67.5,68,66.2,67.6,1474450
VHM,20200506,06-05-20,63.6,67.5,63.4,67,4286630
VHM,20200505,05-05-20,64.7,65.5,63.4,63.6,2397120
VHM,20200504,04-05-20,63.6,64.9,63.6,64.9,1577040
VHM,20200429,29-04-20,63.6,65,63.3,63.6,2701200
VHM,20200428,28-04-20,67,68.5,64.5,64.6,3631100
VHM,20200427,27-04-20,65.5,66.9,64,64.5,1235530
VHM,20200424,24-04-20,66.6,66.8,64.3,65,2147870
VHM,20200423,23-04-20,67,67.4,65.6,66.6,1093030
