<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VIC,20200618,18-06-20,91.9,92.5,90.9,91,312850
VIC,20200617,17-06-20,93,93.4,90.5,91.9,380880
VIC,20200616,16-06-20,91.5,94.8,89.9,93.4,658480
VIC,20200615,15-06-20,93,93,89,89,791710
VIC,20200612,12-06-20,90,92.5,89.9,91.8,875940
VIC,20200611,11-06-20,95.6,96.2,93,93,761540
VIC,20200610,10-06-20,96.2,96.2,95.4,95.6,488490
VIC,20200609,09-06-20,97,97,96.1,96.2,318400
VIC,20200608,08-06-20,95.2,97.6,95.2,96,482180
VIC,20200605,05-06-20,96,96.2,95,95,525870
VIC,20200604,04-06-20,96.8,96.8,96,96,550740
VIC,20200603,03-06-20,96.5,96.8,95.5,96.8,466430
VIC,20200602,02-06-20,97.2,97.2,96.5,96.7,501700
VIC,20200601,01-06-20,97,97.2,96.5,97.2,481490
VIC,20200529,29-05-20,97,97.5,96.6,97,493500
VIC,20200528,28-05-20,96.9,97.5,96.3,97,314790
VIC,20200527,27-05-20,96.9,97.9,96.5,96.9,591440
VIC,20200526,26-05-20,97,97.5,96.4,96.9,360000
VIC,20200525,25-05-20,96.2,97.1,96,97.1,216400
VIC,20200522,22-05-20,98,98,96.4,96.4,292930
VIC,20200521,21-05-20,97,98,96.9,98,674380
VIC,20200520,20-05-20,96.4,97,96.1,96.6,254730
VIC,20200519,19-05-20,97.1,97.4,96,96.5,729850
VIC,20200518,18-05-20,97,97,95.5,96.5,229440
VIC,20200515,15-05-20,96,97.5,95.8,97,327650
VIC,20200514,14-05-20,95,96.7,93.9,96,1002810
VIC,20200513,13-05-20,95.1,96,91.5,95,2652530
VIC,20200512,12-05-20,97.4,97.4,95,97,770030
VIC,20200511,11-05-20,97.5,98,95.9,97.5,1358920
VIC,20200508,08-05-20,96.4,100,96.1,97.5,1683960
VIC,20200507,07-05-20,95,96,94,96,617800
VIC,20200506,06-05-20,92.6,95,92.5,95,773570
VIC,20200505,05-05-20,91.8,93,91.8,92.7,274700
VIC,20200504,04-05-20,91.9,92.5,90,91.8,259550
VIC,20200429,29-04-20,91.9,93.4,90.5,91.9,314400
VIC,20200428,28-04-20,92.5,92.9,91.5,92,222920
VIC,20200427,27-04-20,95,95,92,92,453720
VIC,20200424,24-04-20,93,93.9,92.4,93,300240
VIC,20200423,23-04-20,93,94.9,92.7,93,347420
VIC,20200422,22-04-20,92,92.8,90.5,92.5,884070
VIC,20200421,21-04-20,95.5,95.5,92.5,93,892270
VIC,20200420,20-04-20,96.1,96.4,94.9,96.2,1055020
VIC,20200417,17-04-20,95.3,96.1,89.2,96.1,1191510
VIC,20200416,16-04-20,96,96,94.7,95.9,845580
VIC,20200415,15-04-20,95.6,96,94.9,96,1176850
VIC,20200414,14-04-20,96.5,96.5,94.5,95.6,631630
VIC,20200413,13-04-20,95.8,96,94.9,96,1411550
VIC,20200410,10-04-20,96,96.8,93.7,95,983120
VIC,20200409,09-04-20,94,97.3,93.8,96,1560610
VIC,20200408,08-04-20,97,97,94,94,760120
VIC,20200407,07-04-20,97.6,100.9,93,97.3,2855700
VIC,20200406,06-04-20,92,97.3,91.3,97.3,2698260
VIC,20200403,03-04-20,86,91,86,91,1184500
VIC,20200401,01-04-20,82.5,87,81,86,437820
VIC,20200331,31-03-20,81.4,87,80.4,83.4,1296450
VIC,20200330,30-03-20,80.8,82,80.8,81.4,881240
VIC,20200327,27-03-20,82,87.4,79.5,86.8,1149310
VIC,20200326,26-03-20,77.6,81.8,75.6,81.8,1242250
VIC,20200325,25-03-20,71.5,76.5,68,76.5,1401570
VIC,20200324,24-03-20,71.8,75,71.5,71.5,1474050
VIC,20200323,23-03-20,78,78.3,76.8,76.8,678160
VIC,20200320,20-03-20,88.7,88.7,82.5,82.5,1083480
VIC,20200319,19-03-20,86.9,88.7,83.1,88.7,1103680
VIC,20200318,18-03-20,87.9,90,86.5,89,785390
VIC,20200317,17-03-20,88.5,92.3,87.6,88.5,681330
VIC,20200316,16-03-20,92,92.5,86.6,92.5,971340
VIC,20200313,13-03-20,86,92.5,85.4,92.5,1226880
VIC,20200312,12-03-20,91,92.3,90.3,91.8,1896270
VIC,20200311,11-03-20,98,98,91.1,97,1049580
VIC,20200310,10-03-20,93,99.2,91.2,97.7,825490
VIC,20200309,09-03-20,101.5,102,97.7,97.7,966890
VIC,20200306,06-03-20,105,105,103.1,105,750830
VIC,20200305,05-03-20,105.1,105.9,103.8,105.6,352300
VIC,20200304,04-03-20,104.6,105.5,103.5,105.5,443810
VIC,20200303,03-03-20,105.1,105.6,104.5,105.5,557950
VIC,20200302,02-03-20,104,105.4,102.7,105.4,742130
VIC,20200228,28-02-20,105,105.4,103,105.4,870840
VIC,20200227,27-02-20,105.8,106,104.1,105.6,740420
VIC,20200226,26-02-20,104,106.6,104,105.9,625410
VIC,20200225,25-02-20,106.7,107.3,105.9,107,543820
VIC,20200224,24-02-20,107.1,108,105.5,107.3,1428650
VIC,20200221,21-02-20,108.6,110,107.8,109.9,309060
VIC,20200220,20-02-20,106,110,105,110,353570
VIC,20200219,19-02-20,103.5,107,103.5,105,875320
VIC,20200218,18-02-20,107,107,104,104.5,791870
VIC,20200217,17-02-20,110,110,105,108,742220
VIC,20200214,14-02-20,112.3,112.6,110,110,252390
VIC,20200213,13-02-20,111.5,112.7,111.4,112.4,285340
VIC,20200212,12-02-20,113.4,113.4,112,112,452790
VIC,20200211,11-02-20,113.5,114.2,113,113.4,290630
VIC,20200210,10-02-20,113,114.1,113,113.7,192700
VIC,20200207,07-02-20,114,114.4,112,114.4,1295520
VIC,20200206,06-02-20,114.4,114.7,112.8,114.4,676290
VIC,20200205,05-02-20,114.8,114.8,113,114.5,468420
VIC,20200204,04-02-20,113.6,114.8,111.8,114.8,1485500
VIC,20200203,03-02-20,114.8,114.8,112.3,114.8,760420
VIC,20200131,31-01-20,114.9,114.9,113.6,114.8,831740
VIC,20200130,30-01-20,114.1,114.9,112.1,114.9,682720
VIC,20200122,22-01-20,114.9,114.9,114.2,114.9,371780
VIC,20200121,21-01-20,114.3,115,114.3,114.9,181510
VIC,20200120,20-01-20,114.9,114.9,114.3,114.9,370670
VIC,20200117,17-01-20,114.9,115.1,114.4,114.9,169100
VIC,20200116,16-01-20,115,115.1,114.3,115,186740
VIC,20200115,15-01-20,115,115,114.3,115,205600
VIC,20200114,14-01-20,114.9,115.1,114.3,115,101150
VIC,20200113,13-01-20,114.7,115.1,114.5,114.9,146680
VIC,20200110,10-01-20,115,115,114.7,114.8,159120
VIC,20200109,09-01-20,114.3,115.1,114.2,114.7,273870
VIC,20200108,08-01-20,114.5,114.7,113.6,114.3,468910
VIC,20200107,07-01-20,114.5,115,114.3,114.7,183910
VIC,20200106,06-01-20,115,115,114.4,114.5,301910
VIC,20200103,03-01-20,115,115.3,114.3,115.3,248940
VIC,20200102,02-01-20,114.9,115,114,115,440280
VIC,20191231,31-12-19,115,115,114.1,115,614630
VIC,20191230,30-12-19,114.5,115,114.2,115,504080
VIC,20191227,27-12-19,115.4,115.4,114,115.2,564070
VIC,20191226,26-12-19,115.3,115.7,114.4,115.4,507390
VIC,20191225,25-12-19,115.3,115.5,114.3,115.5,348350
VIC,20191224,24-12-19,115.6,115.6,114.3,115.5,449960
VIC,20191223,23-12-19,115.8,115.8,114.3,115.7,591380
VIC,20191220,20-12-19,115.8,115.8,114.7,115.8,839200
VIC,20191219,19-12-19,115,116,114,115.8,974360
VIC,20191218,18-12-19,115,115.9,114.5,115.8,847090
